,schedule_season,team_home,score_home,score_away,team_away
8755,2005,Oakland Raiders,14.0,27.0,San Diego Chargers
8756,2005,Pittsburgh Steelers,17.0,23.0,Jacksonville Jaguars
8757,2005,Seattle Seahawks,42.0,10.0,Houston Texans
8758,2005,Tampa Bay Buccaneers,27.0,13.0,Miami Dolphins
8759,2005,Tennessee Titans,23.0,31.0,Cincinnati Bengals
8760,2005,Indianapolis Colts,45.0,28.0,St. Louis Rams
8761,2005,Miami Dolphins,20.0,30.0,Kansas City Chiefs
8762,2005,Arizona Cardinals,20.0,10.0,Tennessee Titans
8763,2005,Chicago Bears,10.0,6.0,Baltimore Ravens
8764,2005,Cincinnati Bengals,13.0,27.0,Pittsburgh Steelers
8765,2005,Cleveland Browns,10.0,13.0,Detroit Lions
8766,2005,Houston Texans,20.0,38.0,Indianapolis Colts
8767,2005,Minnesota Vikings,23.0,20.0,Green Bay Packers
8768,2005,New York Giants,24.0,23.0,Denver Broncos
8769,2005,Oakland Raiders,38.0,17.0,Buffalo Bills
8770,2005,Philadelphia Eagles,20.0,17.0,San Diego Chargers
8771,2005,Seattle Seahawks,13.0,10.0,Dallas Cowboys
8772,2005,St. Louis Rams,28.0,17.0,New Orleans Saints
8773,2005,Washington Redskins,52.0,17.0,San Francisco 49ers
8774,2005,Atlanta Falcons,27.0,14.0,New York Jets
8775,2005,Carolina Panthers,38.0,13.0,Minnesota Vikings
8776,2005,Cincinnati Bengals,21.0,14.0,Green Bay Packers
8777,2005,Dallas Cowboys,34.0,13.0,Arizona Cardinals
8778,2005,Denver Broncos,49.0,21.0,Philadelphia Eagles
8779,2005,Detroit Lions,13.0,19.0,Chicago Bears
8780,2005,Houston Texans,19.0,16.0,Cleveland Browns
8781,2005,New England Patriots,21.0,16.0,Buffalo Bills
8782,2005,New Orleans Saints,6.0,21.0,Miami Dolphins
8783,2005,New York Giants,36.0,0.0,Washington Redskins
8784,2005,San Diego Chargers,28.0,20.0,Kansas City Chiefs
8785,2005,San Francisco 49ers,15.0,10.0,Tampa Bay Buccaneers
8786,2005,St. Louis Rams,24.0,21.0,Jacksonville Jaguars
8787,2005,Tennessee Titans,25.0,34.0,Oakland Raiders
8788,2005,Pittsburgh Steelers,20.0,19.0,Baltimore Ravens
8789,2005,Arizona Cardinals,19.0,33.0,Seattle Seahawks
8790,2005,Baltimore Ravens,9.0,21.0,Cincinnati Bengals
8791,2005,Cleveland Browns,20.0,14.0,Tennessee Titans
8792,2005,Green Bay Packers,10.0,20.0,Pittsburgh Steelers
8793,2005,Jacksonville Jaguars,21.0,14.0,Houston Texans
8794,2005,Kansas City Chiefs,27.0,23.0,Oakland Raiders
8795,2005,Miami Dolphins,10.0,17.0,Atlanta Falcons
8796,2005,Minnesota Vikings,27.0,14.0,Detroit Lions
8797,2005,New Orleans Saints,17.0,20.0,Chicago Bears
8798,2005,New York Jets,26.0,31.0,San Diego Chargers
8799,2005,San Francisco 49ers,6.0,24.0,New York Giants
8800,2005,Tampa Bay Buccaneers,14.0,34.0,Carolina Panthers
8801,2005,Washington Redskins,17.0,10.0,Philadelphia Eagles
8802,2005,New England Patriots,21.0,40.0,Indianapolis Colts
8803,2005,Atlanta Falcons,25.0,33.0,Green Bay Packers
8804,2005,Buffalo Bills,14.0,3.0,Kansas City Chiefs
8805,2005,Carolina Panthers,30.0,3.0,New York Jets
8806,2005,Chicago Bears,17.0,9.0,San Francisco 49ers
8807,2005,Detroit Lions,29.0,21.0,Arizona Cardinals
8808,2005,Indianapolis Colts,31.0,17.0,Houston Texans
8809,2005,Jacksonville Jaguars,30.0,3.0,Baltimore Ravens
8810,2005,Miami Dolphins,16.0,23.0,New England Patriots
8811,2005,New York Giants,21.0,24.0,Minnesota Vikings
8812,2005,Oakland Raiders,17.0,31.0,Denver Broncos
8813,2005,Pittsburgh Steelers,34.0,21.0,Cleveland Browns
8814,2005,Seattle Seahawks,31.0,16.0,St. Louis Rams
8815,2005,Tampa Bay Buccaneers,36.0,35.0,Washington Redskins
8816,2005,Philadelphia Eagles,20.0,21.0,Dallas Cowboys
8817,2005,Atlanta Falcons,27.0,30.0,Tampa Bay Buccaneers
8818,2005,Baltimore Ravens,16.0,13.0,Pittsburgh Steelers
8819,2005,Chicago Bears,13.0,3.0,Carolina Panthers
8820,2005,Cincinnati Bengals,37.0,45.0,Indianapolis Colts
8821,2005,Cleveland Browns,22.0,0.0,Miami Dolphins
8822,2005,Dallas Cowboys,20.0,7.0,Detroit Lions
8823,2005,Denver Broncos,27.0,0.0,New York Jets
8824,2005,Houston Texans,17.0,45.0,Kansas City Chiefs
8825,2005,New England Patriots,24.0,17.0,New Orleans Saints
8826,2005,New York Giants,27.0,17.0,Philadelphia Eagles
8827,2005,San Diego Chargers,48.0,10.0,Buffalo Bills
8828,2005,San Francisco 49ers,25.0,27.0,Seattle Seahawks
8829,2005,St. Louis Rams,28.0,38.0,Arizona Cardinals
8830,2005,Tennessee Titans,28.0,31.0,Jacksonville Jaguars
8831,2005,Washington Redskins,13.0,16.0,Oakland Raiders
8832,2005,Green Bay Packers,17.0,20.0,Minnesota Vikings
8833,2005,Dallas Cowboys,21.0,24.0,Denver Broncos
8834,2005,Detroit Lions,7.0,27.0,Atlanta Falcons
8835,2005,Arizona Cardinals,17.0,24.0,Jacksonville Jaguars
8836,2005,Buffalo Bills,9.0,13.0,Carolina Panthers
8837,2005,Cincinnati Bengals,42.0,29.0,Baltimore Ravens
8838,2005,Houston Texans,27.0,33.0,St. Louis Rams
8839,2005,Kansas City Chiefs,26.0,16.0,New England Patriots
8840,2005,Minnesota Vikings,24.0,12.0,Cleveland Browns
8841,2005,New York Jets,19.0,21.0,New Orleans Saints
8842,2005,Oakland Raiders,21.0,33.0,Miami Dolphins
8843,2005,Philadelphia Eagles,19.0,14.0,Green Bay Packers
8844,2005,Seattle Seahawks,24.0,21.0,New York Giants
8845,2005,Tampa Bay Buccaneers,10.0,13.0,Chicago Bears
8846,2005,Tennessee Titans,33.0,22.0,San Francisco 49ers
8847,2005,Washington Redskins,17.0,23.0,San Diego Chargers
8848,2005,Indianapolis Colts,26.0,7.0,Pittsburgh Steelers
8849,2005,Baltimore Ravens,16.0,15.0,Houston Texans
8850,2005,Carolina Panthers,24.0,6.0,Atlanta Falcons
8851,2005,Chicago Bears,19.0,7.0,Green Bay Packers
8852,2005,Cleveland Browns,14.0,20.0,Jacksonville Jaguars
8853,2005,Detroit Lions,16.0,21.0,Minnesota Vikings
8854,2005,Indianapolis Colts,35.0,3.0,Tennessee Titans
8855,2005,Kansas City Chiefs,31.0,27.0,Denver Broncos
8856,2005,Miami Dolphins,24.0,23.0,Buffalo Bills
8857,2005,New England Patriots,16.0,3.0,New York Jets
8858,2005,New Orleans Saints,3.0,10.0,Tampa Bay Buccaneers
8859,2005,New York Giants,17.0,10.0,Dallas Cowboys
8860,2005,Pittsburgh Steelers,31.0,38.0,Cincinnati Bengals
8861,2005,San Diego Chargers,34.0,10.0,Oakland Raiders
8862,2005,San Francisco 49ers,10.0,17.0,Arizona Cardinals
8863,2005,St. Louis Rams,9.0,24.0,Washington Redskins
8864,2005,Philadelphia Eagles,0.0,42.0,Seattle Seahawks
8865,2005,Arizona Cardinals,13.0,17.0,Washington Redskins
8866,2005,Buffalo Bills,7.0,35.0,New England Patriots
8867,2005,Carolina Panthers,10.0,20.0,Tampa Bay Buccaneers
8868,2005,Cincinnati Bengals,23.0,20.0,Cleveland Browns
8869,2005,Dallas Cowboys,31.0,28.0,Kansas City Chiefs
8870,2005,Denver Broncos,12.0,10.0,Baltimore Ravens
8871,2005,Green Bay Packers,16.0,13.0,Detroit Lions
8872,2005,Jacksonville Jaguars,18.0,26.0,Indianapolis Colts
8873,2005,Minnesota Vikings,27.0,13.0,St. Louis Rams
8874,2005,New York Jets,26.0,10.0,Oakland Raiders
8875,2005,Philadelphia Eagles,23.0,26.0,New York Giants
8876,2005,Pittsburgh Steelers,21.0,9.0,Chicago Bears
8877,2005,San Diego Chargers,21.0,23.0,Miami Dolphins
8878,2005,Seattle Seahawks,41.0,3.0,San Francisco 49ers
8879,2005,Tennessee Titans,13.0,10.0,Houston Texans
8880,2005,Atlanta Falcons,36.0,17.0,New Orleans Saints
8881,2005,Buffalo Bills,17.0,28.0,Denver Broncos
8882,2005,New England Patriots,28.0,0.0,Tampa Bay Buccaneers
8883,2005,New York Giants,27.0,17.0,Kansas City Chiefs
8884,2005,Chicago Bears,16.0,3.0,Atlanta Falcons
8885,2005,Detroit Lions,17.0,41.0,Cincinnati Bengals
8886,2005,Houston Texans,30.0,19.0,Arizona Cardinals
8887,2005,Indianapolis Colts,17.0,26.0,San Diego Chargers
8888,2005,Jacksonville Jaguars,10.0,9.0,San Francisco 49ers
8889,2005,Miami Dolphins,24.0,20.0,New York Jets
8890,2005,Minnesota Vikings,3.0,18.0,Pittsburgh Steelers
8891,2005,New Orleans Saints,10.0,27.0,Carolina Panthers
8892,2005,Oakland Raiders,7.0,9.0,Cleveland Browns
8893,2005,St. Louis Rams,16.0,17.0,Philadelphia Eagles
8894,2005,Tennessee Titans,24.0,28.0,Seattle Seahawks
8895,2005,Washington Redskins,35.0,7.0,Dallas Cowboys
8896,2005,Baltimore Ravens,48.0,3.0,Green Bay Packers
8897,2005,Arizona Cardinals,27.0,21.0,Philadelphia Eagles
8898,2005,Carolina Panthers,20.0,24.0,Dallas Cowboys
8899,2005,Cincinnati Bengals,27.0,37.0,Buffalo Bills
8900,2005,Cleveland Browns,0.0,41.0,Pittsburgh Steelers
8901,2005,Denver Broncos,22.0,3.0,Oakland Raiders
8902,2005,Houston Texans,20.0,38.0,Jacksonville Jaguars
8903,2005,Kansas City Chiefs,20.0,7.0,San Diego Chargers
8904,2005,Miami Dolphins,24.0,10.0,Tennessee Titans
8905,2005,New Orleans Saints,12.0,13.0,Detroit Lions
8906,2005,Seattle Seahawks,28.0,13.0,Indianapolis Colts
8907,2005,St. Louis Rams,20.0,24.0,San Francisco 49ers
8908,2005,Tampa Bay Buccaneers,27.0,24.0,Atlanta Falcons
8909,2005,Washington Redskins,35.0,20.0,New York Giants
8910,2005,Baltimore Ravens,30.0,23.0,Minnesota Vikings
8911,2005,Green Bay Packers,17.0,24.0,Chicago Bears
8912,2005,New York Jets,21.0,31.0,New England Patriots
8913,2005,Oakland Raiders,21.0,30.0,New York Giants
8914,2005,San Diego Chargers,7.0,23.0,Denver Broncos
8915,2005,Atlanta Falcons,11.0,44.0,Carolina Panthers
8916,2005,Cleveland Browns,20.0,16.0,Baltimore Ravens
8917,2005,Dallas Cowboys,10.0,20.0,St. Louis Rams
8918,2005,Green Bay Packers,23.0,17.0,Seattle Seahawks
8919,2005,Indianapolis Colts,17.0,13.0,Arizona Cardinals
8920,2005,Jacksonville Jaguars,40.0,13.0,Tennessee Titans
8921,2005,Kansas City Chiefs,37.0,3.0,Cincinnati Bengals
8922,2005,Minnesota Vikings,34.0,10.0,Chicago Bears
8923,2005,New England Patriots,26.0,28.0,Miami Dolphins
8924,2005,New York Jets,30.0,26.0,Buffalo Bills
8925,2005,Philadelphia Eagles,20.0,31.0,Washington Redskins
8926,2005,Pittsburgh Steelers,35.0,21.0,Detroit Lions
8927,2005,San Francisco 49ers,20.0,17.0,Houston Texans
8928,2005,Tampa Bay Buccaneers,27.0,13.0,New Orleans Saints
8929,2005,New England Patriots,28.0,3.0,Jacksonville Jaguars
8930,2005,Tampa Bay Buccaneers,10.0,17.0,Washington Redskins
8931,2005,Cincinnati Bengals,17.0,31.0,Pittsburgh Steelers
8932,2005,New York Giants,0.0,23.0,Carolina Panthers
8933,2005,Denver Broncos,27.0,13.0,New England Patriots
8934,2005,Seattle Seahawks,20.0,10.0,Washington Redskins
8935,2005,Chicago Bears,21.0,29.0,Carolina Panthers
8936,2005,Indianapolis Colts,18.0,21.0,Pittsburgh Steelers
8937,2005,Denver Broncos,17.0,34.0,Pittsburgh Steelers
8938,2005,Seattle Seahawks,34.0,14.0,Carolina Panthers
8939,2005,Pittsburgh Steelers,21.0,10.0,Seattle Seahawks
